,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
"DOM_01T02: Agriculture, hunting, forestry",2639.4,0.5,59.8,9.4,0,22520.2,74.5,2927.4,171.7,29.3,78.8,15.4,247,18.5,25.3,52.5,12.7,12.7,40.2,67.2,7.2,183.8,110,24.6,117.8,598.7,50,50.4,6,51.3,5.7,512.9,8.6,8.7,9,24.2,553.8,51.5,813.3,499.1,40.8,336.5,23.6,83.3,0,22185.3,2.8,45.9,734,76.2,0,321.8,7744.3,64283.4
DOM_03: Fishing and aquaculture,0,16.5,0,0,0,172.9,0,0,0.4,0,0.6,0.1,0,0,0,0,0,0.4,0.5,0.5,0,2.2,0,0,0.5,3.2,0,1.3,0,0,0,60.9,0,0,0,0,0,0,0,0.5,0,16.6,1.5,0,0,101.2,0,0,0,1.5,0,14.1,162.9,558.1
"DOM_05T06: Mining and quarrying, energy producing products",11.1,0.1,107,3.4,0.1,105.3,12,5.4,55.5,1410.1,141.9,7.2,18.7,83.2,424.9,32.7,8.4,12,77,33,8.3,14.6,1133.2,12.4,44.1,113.8,14.6,18,13.1,20.4,4.3,19.7,4.8,5.7,9.9,18,14.6,25.4,25.7,55.3,10.5,54.8,4.1,7.6,0,1114.7,0,2.6,54.7,15,0,12.1,3158.6,8559.5
"DOM_07T08: Mining and quarrying, non-energy producing products",11.3,0.2,0.6,6.4,0.1,17.8,1.5,4.7,4.5,4.5,22.1,6.5,6.6,149.7,39.6,7.3,7.4,8.2,13.8,20.1,3.2,10.1,18.8,8.2,297.1,38.3,6.3,0.9,1.7,8.2,1.3,8.2,2.5,5.4,2.8,13.6,14.5,28.3,14.3,32,1.4,10.9,1.6,2.9,0,170.6,0.2,2.9,86.6,13.6,0,2.1,2873,4014.3
DOM_09: Mining support service activities,0.1,0,6.9,0.6,0.1,0.2,0,0,0.4,3.5,0.6,0,0.1,2.1,1.7,0,0,0,0.1,0,0,0,2.2,0.2,13.2,0,0.4,0,0,0.1,0,0,0,0,0,0,0.3,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,6.5,0,0,141.6,181.9
"DOM_10T12: Food products, beverages and tobacco",2716.5,0.4,17.8,6.4,0.1,21496.3,86.1,37.5,89,121.9,1410.9,408.5,148.2,60.5,120.7,112.4,98.5,90.1,232.1,247.8,42.3,150.1,106.9,26.7,535.2,474.2,36,600.1,133.8,57.6,13.4,11235.8,53.7,58.7,47.3,124,129.3,196.5,173.7,3058.7,524,6690.9,103,242,0,108951.3,5.9,769.8,788.9,8017.7,0,1494.6,51913.8,224257.5
"DOM_13T15: Textiles, textile products, leather and footwear",31.9,8.1,1.1,0.3,0,81.9,646.1,7.8,25.9,11.9,40.3,31.3,288.3,13.4,14.9,50.4,42.4,48.1,114.3,409.3,33,229.3,20.7,10.7,213.5,125.3,11.9,7.5,4.9,17.7,14.5,80.2,14.1,11.8,23.5,34.2,22.9,43.9,87.5,54.5,17.6,148.4,25.6,31.1,0,8319.2,2.3,114.4,270,2859.3,0,360.7,12931.1,28008.8
DOM_16: Wood and products of wood and cork,60.1,0.5,6.8,7.6,0.1,199.5,32.7,3924.3,250.6,15.1,215.4,32.1,68.5,97.3,82.7,270.5,109.6,89.1,356.2,342.3,531.3,2049.5,135.3,53.7,4446.2,245.8,17.6,3.6,2.3,56,8.3,76.2,12.8,31.9,9.1,18.6,86.8,125.5,302.5,139.8,104.4,76.1,46.7,618.4,0,2588.1,2.3,14.1,3158.9,275.6,0,60.3,6840.9,28300
DOM_17T18: Paper products and printing,59.7,2.9,11.9,21.3,0.1,2671.7,380.4,114.1,9743.9,53.4,1265.2,731.9,455.9,271.6,123.2,414.2,559.9,563,626.6,625.9,87.9,666.4,122.4,110.5,530,4861.2,120.9,20.6,20.6,118.5,264.9,134,3426.5,382.9,166.6,714.7,79.6,2020.6,1535,735.8,238.7,774.5,137.2,274.6,0,9258,5.2,56.4,378.3,771.5,0,207.6,20374.2,67292.5
DOM_19: Coke and refined petroleum products,900.5,5.3,37,29.2,1.1,317.9,65.6,65.8,150.7,2081.8,1981.7,125,267.5,416.4,686.3,212.2,108.3,160.5,268.8,405.8,64.9,136.9,720,535.5,1594,2443.1,1725.7,803.9,2155.4,2288.7,398.6,172.7,88.9,62.2,101.2,101.3,77.6,524.1,461.2,809,125.7,372.6,120,247.8,0,20340.7,4,174.2,399.1,2261.7,0,500.1,19043,67141.1
