"","desc_short","bl","fl","y","tax"
"s01_01T02","Agric.; forestry",0.992959232553735,1.15484697409704,31925.7,"Impulsado"
"s02_03","Fishing",0.83944744599022,0.906441947375413,2088.8,"Independiente"
"s03_05T06","Oil and gas",0.91951618712099,1.40470709580157,15899,"Impulsado"
"s04_07T08","Mining",0.842912599077152,1.39350422890607,3540.3,"Impulsado"
"s05_09","Mining support",1.01703516019526,1.68163177218103,1335.7,"Clave"
"s06_10T12","Food; beverages; tobacco",1.24818597970821,0.700732333385661,25155.7,"Impulsor"
"s07_13T15","Textiles; leather",1.03408695403094,0.776640043797765,4332.2,"Impulsor"
"s08_16","Wood prod.",1.04471555258983,1.26081886985349,1039.7,"Clave"
"s09_17T18","Paper and printing",1.06284788220814,1.23692591777355,4753.6,"Clave"
"s10_19","Ref. petroleum",1.32175557958875,1.06813423399915,3328.8,"Clave"
"s11_20","Chemicals",1.14805420821472,1.22181230497982,6711.7,"Clave"
"s12_21","Pharmaceuticals",1.09944823808254,0.853020411360809,3196.4,"Impulsor"
"s13_22","Rubber; plastic",1.09499029078459,1.19378693234838,3359.8,"Clave"
"s14_23","Non-metal prod.",1.05206114742797,1.33546161116481,3325.1,"Clave"
"s15_24","Basic metals",1.18494814578381,1.48147855670155,5261.4,"Clave"
"s16_25","Metal prod.",1.0284937169119,1.05664763823232,3247.6,"Clave"
"s17_26","Comp.; electronic; optical",1.06930250380733,0.759124473510276,1379.6,"Impulsor"
"s18_27","Electrical eq.",1.12413380238209,0.928107209969901,1323.7,"Impulsor"
"s19_28","Mach. and eq.",1.04383945007102,0.82151901214331,3805.8,"Impulsor"
"s20_29","Motor vehicles",1.13755579068409,0.73263369379206,4463.7,"Impulsor"
"s21_30","Other transp. eq.",0.889187297412034,0.751966827730273,221,"Independiente"
"s22_31T33","Other manuf.",0.960546843483555,0.848975464559408,2102.3,"Independiente"
"s23_35","Elec; gas",1.06250147544955,1.24759108058231,12314.6,"Clave"
"s24_36T39","Water",0.904700817105717,1.127739857616,3866.1,"Impulsado"
"s25_41T43","Construction",0.976738382119853,0.759096658661705,22140.3,"Independiente"
"s26_45T47","Trade",0.828648074609387,0.972972957840404,69328.2,"Independiente"
"s27_49","Land transp.",1.02444568613502,1.02128818139488,16560.4,"Clave"
"s28_50","Water transp.",1.08651089862717,0.885675587868036,547.1,"Impulsor"
"s29_51","Air transp.",1.16114717683461,0.71449789345827,945.9,"Impulsor"
"s30_52","Transp. support",1.05785099971827,1.15376465969768,4139.3,"Clave"
"s31_53","Post",0.977839396737264,1.2885685244488,767.7,"Impulsado"
"s32_55T56","Accomodation and food",1.13127495309772,0.705673073037447,12846.9,"Impulsor"
"s33_58T60","Publishing; broadcasting",1.09645543386462,1.12607839796874,4794.9,"Clave"
"s34_61","Telecommunications",1.06107027485875,0.98565000817059,6059.8,"Impulsor"
"s35_62T63","IT",1.07375860472768,0.986098292081867,1496.7,"Impulsor"
"s36_64T66","Finance and insurance",0.877333878075272,1.08195740097055,22180.4,"Impulsado"
"s37_68","Real estate",0.691808950125104,0.719708445810878,18383,"Independiente"
"s38_69T75","Prof. serv.",0.972500061343136,1.32808150906601,14466.8,"Impulsado"
"s39_77T82","Admin. services",0.792217239009967,1.39717862816805,20600,"Impulsado"
"s40_84","Public admin.",0.821156022231356,0.612840300204339,37611.2,"Independiente"
"s41_85","Education",0.748752571288524,0.607871632789512,26524.8,"Independiente"
"s42_86T88","Health",0.882139079334548,0.713416912985629,27600.5,"Independiente"
"s43_90T93","Entretainment",1.06892611759981,0.691114425564929,2185.7,"Impulsor"
"s44_94T96","Other serv.",0.947966212049823,0.72435642994815,10263.1,"Independiente"
"s45_97T98","Domestic work",0.598233686947965,0.57986158800157,3422.2,"Independiente"
