"","desc_short","p","p_2","p_var"
"s01_01T02","Agric.; forestry",1,1.0119573915407,1.19573915406954
"s02_03","Fishing",1,1.01406383920388,1.40638392038841
"s03_05T06","Oil and gas",1,1.01067385296562,1.06738529656187
"s04_07T08","Mining",1,1.00923998403247,0.92399840324735
"s05_09","Mining support",1,1.02141676475799,2.1416764757989
"s06_10T12","Food; beverages; tobacco",1,1.01470297435113,1.47029743511253
"s07_13T15","Textiles; leather",1,1.03146852311057,3.14685231105667
"s08_16","Wood prod.",1,1.0204406204889,2.04406204888961
"s09_17T18","Paper and printing",1,1.03018864486696,3.01886448669619
"s10_19","Ref. petroleum",1,1.01899162966383,1.89916296638311
"s11_20","Chemicals",1,1.0394542397662,3.94542397662005
"s12_21","Pharmaceuticals",1,1.02799591835324,2.79959183532368
"s13_22","Rubber; plastic",1,1.04016252016548,4.01625201654832
"s14_23","Non-metal prod.",1,1.01605245275006,1.60524527500601
"s15_24","Basic metals",1,1.02274272099176,2.27427209917566
"s16_25","Metal prod.",1,1.03289690856682,3.28969085668189
"s17_26","Comp.; electronic; optical",1,1.06246192013591,6.2461920135914
"s18_27","Electrical eq.",1,1.03253500288402,3.25350028840177
"s19_28","Mach. and eq.",1,1.04368375608929,4.3683756089292
"s20_29","Motor vehicles",1,1.05691555940103,5.691555940103
"s21_30","Other transp. eq.",1,1.04915929269418,4.91592926941748
"s22_31T33","Other manuf.",1,1.02651374372893,2.65137437289309
"s23_35","Elec; gas",1,1.01405224346399,1.40522434639903
"s24_36T39","Water",1,1.0123558563585,1.23558563585018
"s25_41T43","Construction",1,1.0188290898843,1.88290898842967
"s26_45T47","Trade",1,1.00842308993081,0.84230899308122
"s27_49","Land transp.",1,1.02045896923564,2.04589692356416
"s28_50","Water transp.",1,1.02415864918365,2.41586491836476
"s29_51","Air transp.",1,1.0307675870302,3.07675870301969
"s30_52","Transp. support",1,1.01902184584348,1.90218458434763
"s31_53","Post",1,1.01677470164102,1.67747016410216
"s32_55T56","Accomodation and food",1,1.01240881187445,1.24088118744501
"s33_58T60","Publishing; broadcasting",1,1.02478885686235,2.47888568623524
"s34_61","Telecommunications",1,1.02076509907265,2.07650990726469
"s35_62T63","IT",1,1.02163204587864,2.16320458786372
"s36_64T66","Finance and insurance",1,1.01576944009865,1.5769440098655
"s37_68","Real estate",1,1.00476105608025,0.476105608025001
"s38_69T75","Prof. serv.",1,1.01622445407389,1.62244540738938
"s39_77T82","Admin. services",1,1.01013724219571,1.01372421957124
"s40_84","Public admin.",1,1.00942723898964,0.942723898964148
"s41_85","Education",1,1.0047716098459,0.477160984589919
"s42_86T88","Health",1,1.01061704896595,1.06170489659492
"s43_90T93","Entretainment",1,1.01724845419823,1.72484541982321
"s44_94T96","Other serv.",1,1.01616100233735,1.61610023373475
"s45_97T98","Domestic work",1,1,0
