,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
"DOM_01T02: Agriculture, hunting, forestry",10577.8,7.2,3,0.1,0,26033.2,606.6,62.1,34.2,6.3,35.5,3.8,40.3,1.3,0.2,0.5,0.2,0.1,1.1,1.8,0,2.5,2.8,0.4,18.5,28.2,8.6,0.2,0,1.5,0.1,496,1,4.3,0.1,1,3.8,2.6,16.7,60,17.7,14.2,0.9,18.5,0,8158.5,0,0,1644.1,104,0,35.7,7045.6,55102.7
DOM_03: Fishing and aquaculture,31.7,8.6,0.2,0,0.1,1076.5,23.9,0.6,3.9,0.9,4.8,1.2,1.3,0.2,0.3,0.2,0.1,0.1,0.4,0.6,0,0.4,0.3,0.1,0.7,4.6,3.3,0.2,0.2,1,0.1,123.6,0.4,0.4,0.1,0.3,0.1,0.5,1.6,8.3,6,6.7,0.4,1.7,0,1083.4,0,0,2.9,217.9,0,3.9,290.1,2914.7
"DOM_05T06: Mining and quarrying, energy producing products",8.3,2.3,2787.5,1.6,1.1,33.8,4.8,1.6,4.5,10511.8,240.5,6,4.8,31.4,14.4,10.3,3.4,1.8,8.2,11.6,0.4,19.2,3412.8,4.4,172.9,65.8,123,4,3,24.1,2.5,32.8,5.3,43.3,1.9,41.7,35.6,18.1,19.3,45.7,27.3,25.1,1,16.5,0,75.2,0,16.3,2614.7,4.6,0,1.6,4305.8,24853.4
"DOM_07T08: Mining and quarrying, non-energy producing products",1.3,4.3,269.8,288.8,0,67.7,16.3,0.1,13.9,110.5,94.2,34.7,1.4,822.6,549.9,34.5,1.5,0.6,2,49.5,0.2,4.8,0.1,13.6,1049.6,0,0.1,0,0.1,0.1,0,22.1,0,0,0,0,25.6,0.3,0,42.1,1.4,0.4,0.1,17.6,0,218.8,0,4.4,2.7,-0.3,0,0,1159.4,4927
DOM_09: Mining support service activities,0,0,1934.2,34.9,78.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3,0,0,0,0,0,0,0,0,0,0,563.9,1.2,0,0,24.1,2669.4
"DOM_10T12: Food products, beverages and tobacco",790.9,19.9,25.1,5.2,8.5,4693.4,49.2,9.4,99.6,19.3,224.8,74.6,26.4,52.2,36.1,21,14.9,6.9,29.5,56.6,0.9,9.2,26,35.5,100.2,93.2,48.6,3.3,31.9,23.1,1.8,4059.4,20.5,11.9,13.6,49.1,12.5,73.7,178,516.6,277.6,334.9,109.9,88.2,0,36120.9,0,82,137.9,15214.4,0,118.6,15426.1,79483
"DOM_13T15: Textiles, textile products, leather and footwear",47.2,3.9,18,0.5,17.5,92.3,1060.7,7.9,39.4,5.8,23.1,20.9,66.3,10.6,6.1,10.4,8.1,2,19.4,48.4,0.8,32.4,17.7,11.1,26.2,78,46.7,0.7,6,31.3,5.1,30.4,12.6,13.1,6.3,19.7,5.8,37.6,42,93.1,27.8,53.8,18.2,76,0,4463.7,0,4.8,20.2,1987.3,0,107.2,913.5,9697.2
DOM_16: Wood and products of wood and cork,157.9,0.9,0.7,0.1,0.2,80.8,6.1,166.7,8.7,2.3,6.8,1.9,5.5,8.3,1.6,10.8,4.6,2.6,6.1,7.5,0.2,138.4,0.8,20.8,365.1,376.4,3.2,0.2,0.4,16.4,0.1,2.2,21.1,0.5,0.5,1.6,9.5,14,6.9,11.3,1.6,1.7,4.9,15.8,0,103.5,0,1.4,121.5,53.1,0,5.6,310.7,2088.9
DOM_17T18: Paper products and printing,34.8,19.3,15.2,31.5,9.6,724.4,50.4,10.8,1532.3,10.5,157.4,99.6,54.9,72.3,8.4,26.8,39.4,12.2,29.6,28.8,1.5,35.5,19.1,16.8,31.9,557.1,72.5,6.4,9.2,16.8,34.9,163.9,679.8,66.2,71.4,253,11.2,630.1,200,359.7,212.8,108,29.9,242.2,0,2450,0,4.6,11.6,596.2,0,21.8,773.5,10655.8
DOM_19: Coke and refined petroleum products,1158.4,96,32,61.5,47.3,251.9,59.2,29.8,91.2,527.2,750.5,64.3,268.5,95.7,66.8,39.8,25.9,15.3,32.1,52,2.7,31.8,124,83.8,163,527.2,1949.9,60,232.3,269.1,14.4,49.3,18.1,18.5,7.3,53.6,17.7,83.7,188.4,370.8,44.5,75.3,16.8,98.5,0,5267.9,0,6.1,32.8,2049.8,0,56.4,1937.5,17616.5
