,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
"DOM_01T02: Agriculture, hunting, forestry",2177.5,5.8,0.2,0.6,0,5019.3,23.7,743.1,609.5,0.1,6.4,2.4,15.1,1.3,0.7,0.3,0.2,0.1,2.4,0,0.4,10.2,38.9,0.1,38.1,29.8,2.8,5.9,0.7,12.8,0,489.4,1.4,0.2,0.7,2.4,1,11,13.4,39.9,7.4,69.7,13.2,34.9,0,4623.5,0,53.9,332.3,-162.5,0,24.4,3929.2,18234
DOM_03: Fishing and aquaculture,0.3,652.8,0,0.1,0,4171.4,0,0,0.1,0,0.7,16.6,0.1,0,0.1,0,0,0,0,0,0,0.3,0,0,0.1,0.3,0,3.6,0,0,0,22.6,0,0,0,0,0,0,0,1.1,0.2,2.5,2.4,3,0,194.7,0,0,0.1,39.2,0,3.3,236.8,5352.5
"DOM_05T06: Mining and quarrying, energy producing products",1.4,0.2,1,2.8,0,4.3,0.1,0.1,1.1,156.5,2.7,1.4,0.2,2.9,7.2,0.2,0,0.1,0.1,0,0,0.1,101.3,0.1,1,0.9,8.3,0.3,1.4,0.3,0,0.6,0.1,0,0.1,0.3,0.1,1.1,0.5,0.2,0.2,0.4,0,0.2,0,32.7,0,0,6.6,-16.6,0,0.3,14.1,337
"DOM_07T08: Mining and quarrying, non-energy producing products",141.7,1.8,4.4,1246.4,1.6,31,5.8,6.5,15.9,5.1,783.1,7.1,28.1,472.2,1791.7,98.7,17.7,20.3,30,0,9.7,36.1,17.8,2.7,228,35.3,12.6,0.6,2.6,3.2,0.1,14.4,4.3,2.6,3.9,22.7,4.7,15.2,14.7,6.5,3,10.8,11.5,6.7,0,143.8,0,0.6,274.3,54.6,0,2.4,19977.1,25631.8
DOM_09: Mining support service activities,1.3,0.1,1.3,1.1,0.6,1.3,0.2,0.3,0.9,0.3,2.8,0.2,1.9,0.3,1.3,0.2,0,0,0.1,0,0.1,0.3,0.1,0.1,0.9,0.9,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.5,0.8,0.1,0.6,0.2,0.3,0.2,0.6,0,0.1,0,7.4,0,0,78.3,2.2,0,0.1,14,122.6
"DOM_10T12: Food products, beverages and tobacco",927.7,1016.2,1.5,22.3,0,2649.7,21.5,10.4,35,4.6,76.9,17.1,15.9,22.4,32.5,8.6,1.8,1.8,6.2,0,7.6,7.7,16.2,12.2,67.8,508.9,23.3,13.5,12.9,7.1,0.4,1660.1,8,9,8.1,30.6,18.1,49.1,24.1,81.1,37.3,146.6,10.3,25.2,0,19735.6,0,66.6,170.3,168.2,0,134.3,9193.5,37126.3
"DOM_13T15: Textiles, textile products, leather and footwear",10.7,3.5,0.1,8.7,0,23.2,56.8,2.7,8.8,0.7,6,2,5.9,2.2,10.1,2.5,0.9,0.8,2.2,0,3.2,7.6,5.1,1.4,45.7,23.6,9.3,0.6,1.9,1.3,0.1,7.3,5,3.2,2,8.6,2.4,9.5,5.1,9.1,4.8,12.5,2.2,2,0,1152.5,0,0.6,50.9,57.5,0,65.3,393.4,2041.4
DOM_16: Wood and products of wood and cork,66.7,1.8,0.5,5.9,0,84.6,5.6,625.8,41.5,0.5,2.9,0.9,3.3,10.7,8,19.1,1.6,2,4.6,0,5.4,169.8,12.4,1,1269.1,62.3,3,1.3,1,2.5,0.2,2.7,6.1,1.1,1.3,12.9,1,2.4,16.8,6.1,1.2,5.1,1.5,25,0,159.5,0,0.2,42.8,70.5,0,4.9,1796.9,4571.9
DOM_17T18: Paper products and printing,37.5,12.3,0.3,20.9,0,472.6,14.5,128.7,908.3,4.4,39.8,45.2,19.5,43.7,26.3,10.4,10.3,8.4,17.6,0,6.5,38.7,68.2,5,253.1,590.5,16.8,2.6,5.9,33,3,27,262,64.4,5.5,111.2,7.1,196.5,47.1,51.2,70.9,115.6,9.5,25.1,0,1253.1,0,14.4,11,180.7,0,14.8,3767.7,9079
DOM_19: Coke and refined petroleum products,216.7,31,2.2,178.6,0,71,3.9,7.9,27.6,31.1,63.4,1.8,7.2,27.7,158.3,6.5,1,1.2,6.3,0,4.3,6.7,18.3,17.2,125,112.1,1217.3,55.5,246.8,20,0.7,15.2,3.6,2.7,0.7,2.8,3.6,23.6,38.7,40.1,10.4,58.2,2,23.2,0,2101.2,0,0.4,33,256.8,0,50.6,528.6,5863.1
