,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
"DOM_01T02: Agriculture, hunting, forestry",401604.4,16699.6,654.3,130.2,0.2,579205.6,140499.1,48746.7,33073.8,10.9,16464.4,47252.9,18056.1,348.6,68.8,178.4,8.7,115,188.5,38.7,26,10055.9,118.9,1031.5,29039.7,73.8,111.5,4,964.9,66.1,2.8,45524.9,64.3,822.6,0.9,40.1,312.5,4670.3,18502.6,12.5,636.8,770.8,494.6,3085,0,367361.7,98.1,56532.8,36553.8,17047.1,0,503.9,15225.4,1913100.8
DOM_03: Fishing and aquaculture,760.6,19812.5,0,1.8,0,71685.7,418.8,347.1,369.4,0.1,982.3,59.2,15.4,10.4,5.9,0,0,0,15.9,4.8,1.7,44.1,10.5,116.7,0,6.2,0,1.9,0,0,0.3,39998.8,10.3,79.1,0,3.9,0,885,2101.9,1.6,109.9,37.3,6.1,298.1,0,73709.2,8.3,0,0,-374.9,0,33.7,1227.4,212807
"DOM_05T06: Mining and quarrying, energy producing products",1614.1,89.5,74158.6,4355.7,147,3699.6,3624.4,403.2,5437.8,180634.3,58143.7,551.9,2800.8,45864.4,45236.5,2083.1,61.3,385.9,2439.2,882.4,346.3,199.3,159714.8,659.7,1115.7,360.5,94.4,66.7,44.9,264.4,46.9,488.2,9.2,538.3,1294.1,153.1,62.7,252,262.1,624,723,248.4,48,417.8,0,3032.3,0,0,0,-894.6,0,0,19736.3,622522.3
"DOM_07T08: Mining and quarrying, non-energy producing products",6.1,2.5,322.2,17686.4,137.3,98.8,33.7,9.3,1021.1,95.3,18173.1,202,733.6,74967.6,147406.6,3692.3,282.6,2580.5,2607.6,792.8,147.5,167.9,274.6,149.7,32741.1,284.4,109.9,1.8,151.5,59.8,276.4,6.7,1.4,0,0,131.8,0.4,149.9,364.4,23.4,3.6,2.2,7.1,9.1,0,1831.7,0,0,0,3264.5,0,0,4758,315769.9
DOM_09: Mining support service activities,0,0,27254.5,610.1,81.8,220.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,481.9,28732.4
"DOM_10T12: Food products, beverages and tobacco",177953,26427.6,1368,3373.3,25.6,288135.5,16299.8,1459.2,1857.4,2219.6,30334.6,7604,1123.5,2512.4,15971.1,5532.5,12788.8,6621.3,11846.8,3444.7,2206.9,1497.1,9547,4376.5,7513.3,15799.9,4030.8,86.3,5984.1,2252.2,1441.3,156287.2,1548.8,3630.4,1617.9,1681.8,4552.3,8636.4,19814.3,6893.2,13136.8,4429.5,7876.8,5820.4,0,743537.9,302,0,0,14487.2,0,2124.2,55266.5,1723277.6
"DOM_13T15: Textiles, textile products, leather and footwear",911.4,48.3,5854.5,2048.8,783.7,8206.6,719026,1493.2,11556,667.6,7913.2,7739,8308.1,8006.1,2556.7,4726.3,5935.8,5375.9,6737.7,11282.7,2939.6,30162.1,1762.2,6181.2,7372.8,12142,5179,299.4,1356.4,1506.8,2635,8053.5,4095.1,1747.1,134.9,3770.9,2502.4,7349.3,29423.7,30149.3,2816,6622.1,4622.6,3852.2,0,225164.8,110,0,0,14157,0,1517.8,275126,1511929.1
DOM_16: Wood and products of wood and cork,42.4,13.9,7257.3,819.8,8.8,1062.4,1163.6,66040.9,5441.6,52.7,1715.7,126.7,1149.3,2765,361.1,5784.7,1259.2,1166.7,1913.6,967.7,201.3,45937.8,158.4,463.4,73134.1,353.1,149.2,5.2,9.2,67.5,15.6,55.8,3.4,44.9,0.2,3.5,0.2,7.9,5.8,40.8,135.2,42.2,411.8,7.1,0,4521.4,2.6,0,0,161.9,0,75.8,12184.6,237313
DOM_17T18: Paper products and printing,497.7,153.6,105.6,795,37.7,23893.3,5575.7,1884.5,136471.4,80.6,6369,5856.4,3289.7,13497.9,738.1,2521.4,7596.7,7791.9,4733.3,1598.9,381.3,11835.6,140.7,516.8,3215.3,26451.3,468.4,8.6,154.3,327.8,6248.7,2706.8,9240.1,1716.9,11164.5,7555.4,4404.5,38595.3,43205.1,13490.7,10496.9,70.2,825,1146.2,0,32758.1,29.3,0,6706.4,5622.2,0,213.4,12430.6,475615.1
DOM_19: Coke and refined petroleum products,11012.8,4059.6,4468.2,24043.2,1621.8,1827.2,1902.6,1066.9,1002.2,16360,92711.1,626.2,3903.3,28774.1,82057.9,4643.7,1737.6,1493.6,4852.2,1758.5,833.3,1587,15101.6,2492.2,43658,9747.3,69805.1,32261.5,19011.4,26202.3,2918.8,1613.9,318.7,866.9,230.2,1476.1,1573,10820.1,15705,3695.8,2736,260.2,371.5,1331.3,0,49800.8,52,0,0,8894.2,0,737.2,32088.6,646112.3
