,"D01T03: Agriculture, forestry and fishing",D05T06: Mining and extraction of energy producing products,D07T08: Mining and quarrying of non-energy producing products,D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, wearing apparel, leather and related products",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20T21: Chemicals and pharmaceutical products,D22: Rubber and plastic products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical products",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Other manufacturing; repair and installation of machinery and equipment,"D35T39: Electricity, gas, water supply, sewerage, waste and remediation services",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49T53: Transportation and storage,D55T56: Accomodation and food services,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,D69T82: Other business sector services,D84: Public admin. and defence; compulsory social security,D85: Education,D86T88: Human health and social work,"D90T96: Arts, entertainment, recreation and other service activities",D97T98: Private households with employed persons,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
"DOM_01T03: Agriculture, forestry and fishing",4189.2,17.2,4.1,0.3,20634.7,356.3,1913.4,640.7,28.8,961.2,387.6,20.4,49.2,36.5,11.3,19.2,51,60.1,7,224.2,108.2,380.6,956,119.6,936.5,6.9,5.3,19.3,23.6,84.8,427.6,366.6,126.6,167.2,115.5,0,15456.2,0.1,73.3,634.9,5.4,0,103.9,7230.7,56961.2
DOM_05T06: Mining and extraction of energy producing products,12.5,43.9,4.3,1,18.5,4.3,6.3,27.9,242.2,116.3,11.9,77.7,872.7,13.4,3.9,5.5,39.7,15.2,2.6,6.9,1517.8,19.5,48.5,33.5,7.7,3.7,5.9,6.4,14.4,30.8,29.8,33.2,26.9,25.6,13.1,0,522.7,0,34,29.7,-13.7,0,4.4,853.2,4773.8
DOM_07T08: Mining and quarrying of non-energy producing products,14.5,16.3,51.7,0.8,16.5,2.5,5,29.9,166,489.1,13.2,652.7,2982,129.5,9.7,30.9,78,30,5.8,35,518.8,640,50.2,30.6,5,1.8,3.6,5.7,8.2,40.7,30.4,36.5,11,10.2,7.8,0,238.7,0.1,68.1,42.4,1.1,0,0.9,1235.3,7746
DOM_09: Mining support service activities,0.8,0.3,0.6,0.1,0.4,0,0.1,0.3,0.3,0.3,0.6,0.2,0.1,0,0,0,0.6,0,0,0.1,1.9,2.6,0,0.2,0,0,0,0,0,0,0.2,0.3,0.1,0,0,0,0,0,15.1,0,2.5,0,0,413.9,441.6
"DOM_10T12: Food products, beverages and tobacco",7277.6,3.3,5.4,0.5,31991.4,153.4,99.4,398.2,199.9,3059.4,203.1,107.2,107.8,129,90.2,96.9,238.3,198,61.9,185.8,545.5,434.3,2818.3,444.3,12784.7,109.8,84.1,94.9,249.9,388.5,1318.5,2565,1074.3,2970,1928.5,0,74814.2,19.9,3865.7,473.5,141.5,0,877.6,45254.3,197864
"DOM_13T15: Textiles, wearing apparel, leather and related products",29.3,0.8,1,0.1,94.2,1304.6,44.4,85.9,20,185.3,219.7,34.7,22.6,56.8,40.9,58.8,106.8,425.2,44.1,407,40.4,130.4,235.1,80.1,50.9,15.5,13.7,21.1,37.2,34,107.7,95.7,33.2,98.5,65.7,0,10573.5,0.1,97.7,250.5,-2.1,0,547.9,9129,24838.1
DOM_16: Wood and of products of wood and cork (except furniture),91.6,28.3,20.5,0.6,94,27.9,4477.5,529.7,32.2,258.5,180.1,186.4,45,287.8,57.9,124,306.8,541.2,89.7,2769.3,337.8,4328.4,397.8,183.9,50.5,36.3,19,36.1,36.9,705.8,330.5,99.6,78.3,43.5,215.3,0,2154.3,0,36.3,3402.7,-203,0,25.7,5797.2,28261.9
DOM_17T18: Paper products and printing,94.3,9.6,17,0.4,1100.7,137,225,9544.5,94.9,1088.8,553.4,356.9,107.1,300.2,209.7,308.9,584.7,548.6,78.8,434.9,741,363.9,2574.5,988.2,262,4764.9,399.8,774,1915,500.1,3329.7,1626.3,1306.2,765.6,904.7,0,6487.3,0.1,121.6,173.3,16.4,0,82.1,18509.9,62402.1
DOM_19: Coke and refined petroleum products,463,34,98.4,4.4,333.3,72.7,109.1,190.3,1600.3,2536.2,265.3,431.4,963.4,268.8,93.8,176.6,406.4,319.9,112.8,235.7,2154.2,1110.7,1327.3,5556.5,122.9,59.4,107.2,133.6,334.9,369.1,949.7,730,203.2,326.6,260,0,21552.1,0.1,516.5,194.7,72.2,0,56.6,16043.5,60896.7
DOM_20T21: Chemicals and pharmaceutical products,1079.4,48.8,84.6,3.4,1167.8,714.1,482.1,1319.8,1226.8,16591.6,6643.6,935.9,1674.9,1160.9,659.4,1080,1420.3,1743.5,336.5,908.5,1219.8,1870.9,1914.3,1237.2,397.3,279.6,218.6,369.5,488.3,760.4,2031.4,766.7,430.8,1574.5,925.8,0,20544.8,1.7,6479.2,1998.1,303.3,0,341.5,120274.8,203710.3
DOM_22: Rubber and plastics products,180.9,48,59.9,3,1421.7,259.8,324.7,778.4,187.2,1811.6,5717.3,497.6,582.1,1174.5,938.3,1783,3281.7,6260.5,680.1,1372.7,644.7,3797.5,2151.3,1421.7,218.5,95.6,207.6,163.5,222.2,373.9,809.5,437,177.2,533.8,308.4,0,6094.3,0.4,484.1,1763.4,13.8,0,38.5,39635.6,86955.5
DOM_23: Other non-metallic mineral products,101.8,9.1,76.4,2.1,453.4,51.8,218.7,76.5,68.3,686.8,396.3,4575.4,633.6,648.9,499.3,539.7,866.1,1311,152.6,350.5,379.2,14663.2,675,340.5,113.4,13.9,57.4,29.7,40.3,480.1,384.7,264.6,144.5,230.5,149.7,0,4019.9,0.2,233.4,3035.1,-152.7,0,13.3,12217.3,49051.5
DOM_24: Manufacture of basic metals,38.7,7.8,31,5.6,121.9,19,54.9,196.9,67.9,381,316.4,322.4,11452.2,11368.3,739.4,4482.1,10178.2,6022,1373.3,1903.3,834.6,5257.4,370.7,253.4,27.1,20.3,45.8,40.2,58.5,126.3,224.3,128.6,55.5,82.6,53.5,0,1168.4,0.2,359.3,704,-171.1,0,12.3,50030.9,108765.2
"DOM_25: Fabricated metal products, except machinery and equipment",332.8,79.2,105.8,8,1356.8,153.7,717.2,372.2,333.4,1303.4,1235.6,719,3861.9,13801.9,1242,2999.1,15076,10278.7,1555.5,3189.6,1641.2,11329.6,1584.2,1273.2,213.3,99.2,134.6,235.1,218.8,881.8,1331.7,1196.6,275.3,325.5,328.2,0,6774.1,0.4,462,15774.3,-880.2,0,34.1,37096.9,139051.9
"DOM_26: Computer, electronic and optical products",100.4,8.6,14.7,0.8,382.3,62.7,64.1,165.2,190.3,399.5,207.9,124.6,254.9,305.2,3847.9,1090.2,1304.3,1282.1,209.1,530.2,633.7,780.4,1193.2,618.3,132.2,187.4,922.1,659.5,405.4,318.7,1050.1,658.6,224.1,831,195.6,0,9993.9,1.7,3240.2,9136.1,-1066.1,0,84.6,50679.1,91424.9
DOM_27: Electrical equipment,110.4,23.7,36.5,2,298.4,60,71.1,142.3,157.3,431.3,256.7,191.5,788.8,778.7,2268.1,9685.3,5116.8,4496.9,749.7,1188,2304.9,4067.7,1232.5,1158.9,125.3,129.3,676.6,602.7,324.6,672.9,1029.1,563.6,193.1,365.9,276.4,0,10094.6,0.4,641.2,11070.3,-782.5,0,62.3,51283.3,112946.6
DOM_28: Machinery and equipment n.e.c.,873.1,175.8,289.3,26.9,923,280.2,499.2,684,474.6,1425.4,1013.8,932.4,2526.2,2740.5,994.7,2341.8,29351.6,9462,2163.3,3123.2,2044,5511.4,2587.5,2235.9,201.1,206,474,566.9,427.9,1004.5,1551.6,2237,311.4,566.7,387.7,0,5609.9,1.3,1387,45909.2,-2580.3,0,100.2,140345.2,271387
"DOM_29: Motor vehicles, trailers and semi-trailers",267.7,33,75.3,6.7,333.9,93.1,201,196,157.3,458.6,532.2,308.6,419.8,879.8,631.1,1290.9,4967.5,83609.3,1085.6,960.1,1186.8,2117.5,4681,4646.6,137.5,139.2,242.6,437.4,448.3,660.4,2516.5,1462,267.6,423.7,338.1,0,52082.4,5.8,6018.2,27393.6,-738.9,0,391.6,223471.8,424837.3
DOM_30: Other transport equipment,25.4,3.2,4.2,0.3,40.5,8.3,13.5,25.1,20.7,46,30.6,26.8,100.2,93.1,111.9,122.8,332.7,198.7,1651.4,104.7,122.3,188.7,149.3,569.7,17,14.7,45.8,57.7,48.6,119.8,234.3,535.9,30,66.3,28.2,0,1847.2,0.6,1265.8,3808.6,-550.1,0,26.1,38363.3,49949.8
